Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,53,Benin,5312,Area harvested,137,Yams,2017,2017,ha,212198,Im,FAO data based on imputation methodology
QC,Crops,53,Benin,5419,Yield,137,Yams,2017,2017,hg/ha,147663,Fc,Calculated data
QC,Crops,53,Benin,5510,Production,137,Yams,2017,2017,tonnes,3133367,Im,FAO data based on imputation methodology
QC,Crops,233,Burkina Faso,5312,Area harvested,137,Yams,2017,2017,ha,6723,,Official data
QC,Crops,233,Burkina Faso,5419,Yield,137,Yams,2017,2017,hg/ha,69515,Fc,Calculated data
QC,Crops,233,Burkina Faso,5510,Production,137,Yams,2017,2017,tonnes,46735,,Official data
QC,Crops,107,Côte d'Ivoire,5312,Area harvested,137,Yams,2017,2017,ha,1239249,Im,FAO data based on imputation methodology
QC,Crops,107,Côte d'Ivoire,5419,Yield,137,Yams,2017,2017,hg/ha,57680,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5510,Production,137,Yams,2017,2017,tonnes,7148000,,Official data
QC,Crops,81,Ghana,5312,Area harvested,137,Yams,2017,2017,ha,465906,Im,FAO data based on imputation methodology
QC,Crops,81,Ghana,5419,Yield,137,Yams,2017,2017,hg/ha,170694,Fc,Calculated data
QC,Crops,81,Ghana,5510,Production,137,Yams,2017,2017,tonnes,7952750,Im,FAO data based on imputation methodology
QC,Crops,90,Guinea,5312,Area harvested,137,Yams,2017,2017,ha,13433,Im,FAO data based on imputation methodology
QC,Crops,90,Guinea,5419,Yield,137,Yams,2017,2017,hg/ha,90428,Fc,Calculated data
QC,Crops,90,Guinea,5510,Production,137,Yams,2017,2017,tonnes,121474,Im,FAO data based on imputation methodology
QC,Crops,123,Liberia,5312,Area harvested,137,Yams,2017,2017,ha,2480,Im,FAO data based on imputation methodology
QC,Crops,123,Liberia,5419,Yield,137,Yams,2017,2017,hg/ha,86972,Fc,Calculated data
QC,Crops,123,Liberia,5510,Production,137,Yams,2017,2017,tonnes,21567,Im,FAO data based on imputation methodology
QC,Crops,133,Mali,5312,Area harvested,137,Yams,2017,2017,ha,4708,Im,FAO data based on imputation methodology
QC,Crops,133,Mali,5419,Yield,137,Yams,2017,2017,hg/ha,246640,Fc,Calculated data
QC,Crops,133,Mali,5510,Production,137,Yams,2017,2017,tonnes,116117,Im,FAO data based on imputation methodology
QC,Crops,136,Mauritania,5312,Area harvested,137,Yams,2017,2017,ha,447,Im,FAO data based on imputation methodology
QC,Crops,136,Mauritania,5419,Yield,137,Yams,2017,2017,hg/ha,62617,Fc,Calculated data
QC,Crops,136,Mauritania,5510,Production,137,Yams,2017,2017,tonnes,2801,Im,FAO data based on imputation methodology
QC,Crops,159,Nigeria,5312,Area harvested,137,Yams,2017,2017,ha,5924908,Im,FAO data based on imputation methodology
QC,Crops,159,Nigeria,5419,Yield,137,Yams,2017,2017,hg/ha,80917,Fc,Calculated data
QC,Crops,159,Nigeria,5510,Production,137,Yams,2017,2017,tonnes,47942712,Im,FAO data based on imputation methodology
QC,Crops,217,Togo,5312,Area harvested,137,Yams,2017,2017,ha,90643,,Official data
QC,Crops,217,Togo,5419,Yield,137,Yams,2017,2017,hg/ha,91188,Fc,Calculated data
QC,Crops,217,Togo,5510,Production,137,Yams,2017,2017,tonnes,826553,,Official data
QC,Crops,5000,World,5312,Area harvested,137,Yams,2017,2017,ha,8560535,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5419,Yield,137,Yams,2017,2017,hg/ha,85297,Fc,Calculated data
QC,Crops,5000,World,5510,Production,137,Yams,2017,2017,tonnes,73018874,A,"Aggregate, may include official, semi-official, estimated or calculated data"
,,,,,,,,,,,,,
,,,,,,,,,,,0.921844891774146,,
