model,dataType,n,min,max,mean,median,sdev,cv,skewness_b1,kurtosis,rmse,mse,me,bias,msv,sde,mae,r2,b,rpd,rpiq,SB,NU,LC,SB_prop,NU_prop,LC_prop,ncomp,response,min_obs,median_obs,max_obs,mean_obs,CV
pls_Fe_total,Cross-validation,94,1,35.2,12.367212765957447,10.295,6.703097178334868,0.5420054870234075,1.2887647038562673,1.2064778493851165,2.9054380507944555,8.441570267004284,0.0170931205125686,0.0170931205125686,8.441278092235427,2.9053877696850425,2.068505769899035,0.8110034148375899,1.034329935404132,2.307086594567725,2.5337831580979753,2.921747688571934e-4,0.0397151853108252,8.401562906924598,0,0,100,5,Fe_tot,3.883,10.295,35.2,12.367212765957447,54.20054870234075
pls_Si_total,Cross-validation,94,1,363,261.631914893617,261.70000000000005,31.53967705211673,0.12054980778985308,0.7799061421671057,1.0264566688333563,19.745982637485188,389.9038303198665,0.08258912905481179,0.08258912905481179,389.8970093556284,19.74580991895821,12.247343257315503,0.6101439105974613,0.9076741164369065,1.5972705755469845,1.9674888159907666,0.006820964238032357,6.212821888423926,383.6841874672045,0,2,98,3,Si_tot,200.39999999999998,261.70000000000005,363,261.631914893617,12.054980778985309
pls_Al_total,Cross-validation,94,1,102.4,52.55053191489362,48.28,22.101049572071062,0.42056757118774835,0.49286040622425636,-0.6845797379790644,3.6654933152022586,13.435841243792444,-0.0012289371151964893,-0.0012289371151964893,13.435839733506011,3.6654931091881773,2.7943803546827737,0.9723989776194416,1.0146047146415944,6.029488440316947,9.740162354662475,1.5102864331074692e-6,0.09736834436107812,13.338471389144935,0,1,99,5,Al_tot,10.43,48.28,102.4,52.55053191489362,42.05675711877483
pls_K_total,Cross-validation,94,0.5404,34.12,9.545762765957447,5.804,8.6446854378859,0.9056044707830986,1.0957830681126812,0.2590756740940021,1.6961025566444858,2.876763882655961,-0.0361398279681311,-0.0361398279681311,2.875457795490395,1.6957174869330076,1.2448751646241552,0.9627108209452108,1.0425305796349544,5.09679406119655,6.389648997075128,0.001306087165566111,0.11846071127249085,2.756997084217908,0,4,96,7,K_tot,0.5404,5.804,34.12,9.545762765957447,90.56044707830986
pls_Ca_total,Cross-validation,94,0.2773,7.5680000000000005,1.8588500000000001,1.4175,1.2930426109412163,0.6956142835307939,1.485684460645727,2.866504315964857,0.6067804234037942,0.3681824822260878,0.003316648360870213,0.003316648360870213,0.3681714820697381,0.6067713589728326,0.42395648702767297,0.7798416769178715,1.0589032910209826,2.1309893349685987,2.4134348168076425,1.100015634966307e-5,0.003991661767132448,0.3641798203026056,0,1,99,5,Ca_tot,0.2773,1.4175,7.5680000000000005,1.8588500000000001,69.56142835307939
pls_Zn_total,Cross-validation,94,1,71.6,22.635106382978723,19.05,11.002821802745402,0.48609543143209466,1.6573502613192233,3.596844923046442,6.595045280062081,43.494622246069135,0.09706649916847618,0.09706649916847618,43.48520034080831,6.594330924423517,4.4896192202611775,0.6401858861794673,0.9335291381213526,1.6683466656413661,2.1607129890495407,0.009421905260823786,0.38875520139350234,43.0964451394148,0,1,99,1,Zn_tot,9.5,19.05,71.6,22.635106382978723,48.609543143209464
pls_Cu_total,Cross-validation,94,0.5,29.2,6.8074468085106385,4.65,5.945401030302223,0.8733672399568823,1.6974061143046357,2.866793041525753,3.220143837503667,10.369326334212843,-0.023702718117856892,-0.023702718117856892,10.368764515366669,3.220056601267541,2.197159025308751,0.7040014755371545,0.9742659356599043,1.8463153605309883,2.166052310696527,5.618188461745813e-4,0.017177213005996967,10.351587302360674,0,0,100,3,Cu_tot,0.5,4.65,29.2,6.8074468085106385,87.33672399568823
pls_Mn_total,Cross-validation,94,1,1146,307.98936170212767,221.5,227.7228000202232,0.7393852786398045,1.6395472708570693,2.184424011849698,118.38076337658278,14014.005137622482,-2.257776908591392,-2.257776908591392,14008.907581053514,118.35923107664021,83.23064020115703,0.7270411548169342,1.0110831578620263,1.923646997407939,1.673413773907009,5.097556568968503,4.482088280765252,14004.425492772747,0,0,100,4,Mn_tot,59.199999999999996,221.5,1146,307.98936170212767,73.93852786398045
pls_sand,Cross-validation,80,1,91.61,74.217875,75.64500000000001,10.630018956810563,0.14322720714936343,-1.9279335690345438,5.176303686510304,8.01343363597042,64.21511863810211,-0.21100581152949563,-0.21100581152949563,64.17059518560289,8.010655103398404,5.054597174479298,0.43541026299300506,0.8656177678586083,1.3265248630867679,1.2326176828447466,0.04452345249922103,1.1709415597736497,62.999653625829254,0,2,98,2,sand,29.82,75.64500000000001,91.61,74.217875,14.322720714936343
pls_silt,Cross-validation,80,1,54.07,14.13725,12.035,8.428683693048894,0.5962039076233988,2.3880457603357663,7.482394434350555,6.723718153014776,45.20838580118043,0.23332990361992972,0.23332990361992972,45.15394295725714,6.719668366612829,3.997101718893913,0.3759257339872465,0.8142636519169001,1.253574808050163,1.2441033085613964,0.054442843923285696,1.3722156882735097,43.78172726898362,0,3,97,2,silt,3.86,12.035,54.07,14.13725,59.62039076233988
